"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q13","","A","Unmarked","0.0","0.75"
"q14","BC","D","Incorrect","0.25","1.0"
"q15","","B","Unmarked","0.0","1.0"
"q16","","C","Unmarked","0.0","1.0"
"q17","","D","Unmarked","0.0","1.0"
"q18","D","A","Incorrect","0.25","1.25"
"q19","AB","B","Incorrect","0.25","1.5"
"q20","","C","Unmarked","0.0","1.5"
"q21","","A","Unmarked","0.0","1.5"
"q22","","D","Unmarked","0.0","1.5"
"q23","","B","Unmarked","0.0","1.5"
"q24","A","C","Incorrect","0.25","1.75"
"q25","","A","Unmarked","0.0","1.75"
"q26","","B","Unmarked","0.0","1.75"
"q27","","D","Unmarked","0.0","1.75"
"q28","","C","Unmarked","0.0","1.75"
"q29","","A","Unmarked","0.0","1.75"
"q30","","B","Unmarked","0.0","1.75"
"q31","D","C","Incorrect","0.25","2.0"
"q32","","D","Unmarked","0.0","2.0"
"q33","CD","B","Incorrect","0.25","2.25"
"q34","A","C","Incorrect","0.25","2.5"
"q35","","A","Unmarked","0.0","2.5"
"q36","","D","Unmarked","0.0","2.5"
"q37","","B","Unmarked","0.0","2.5"
"q38","A","C","Incorrect","0.25","2.75"
"q39","","A","Unmarked","0.0","2.75"
"q40","","D","Unmarked","0.0","2.75"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","BC","D","Incorrect","0.25","0.25"
"q3","","C","Unmarked","0.0","0.25"
"q4","","B","Unmarked","0.0","0.25"
"q5","BC","D","Incorrect","0.25","0.5"
"q6","","C","Unmarked","0.0","0.5"
"q7","","A","Unmarked","0.0","0.5"
"q8","B","C","Incorrect","0.25","0.75"
"q9","","A","Unmarked","0.0","0.75"
"q10","","D","Unmarked","0.0","0.75"
"q11","","C","Unmarked","0.0","0.75"
"q12","","B","Unmarked","0.0","0.75"
"q13","","A","Unmarked","0.0","0.75"
"q14","BC","D","Incorrect","0.25","1.0"
"q15","","B","Unmarked","0.0","1.0"
"q16","","C","Unmarked","0.0","1.0"
"q17","","D","Unmarked","0.0","1.0"
"q18","D","A","Incorrect","0.25","1.25"
"q19","AB","B","Incorrect","0.25","1.5"
"q20","","C","Unmarked","0.0","1.5"
"q21","","A","Unmarked","0.0","1.5"
"q22","","D","Unmarked","0.0","1.5"
"q23","","B","Unmarked","0.0","1.5"
"q24","A","C","Incorrect","0.25","1.75"
"q25","","A","Unmarked","0.0","1.75"
"q26","","B","Unmarked","0.0","1.75"
"q27","","D","Unmarked","0.0","1.75"
"q28","","C","Unmarked","0.0","1.75"
"q29","","A","Unmarked","0.0","1.75"
"q30","","B","Unmarked","0.0","1.75"
"q31","D","C","Incorrect","0.25","2.0"
"q32","","D","Unmarked","0.0","2.0"
"q33","CD","B","Incorrect","0.25","2.25"
"q34","A","C","Incorrect","0.25","2.5"
"q35","","A","Unmarked","0.0","2.5"
"q36","","D","Unmarked","0.0","2.5"
"q37","","B","Unmarked","0.0","2.5"
"q38","A","C","Incorrect","0.25","2.75"
"q39","","A","Unmarked","0.0","2.75"
"q40","","D","Unmarked","0.0","2.75"
